date,close,volume,high,low,open
2018-04-18,177.84,20544600.0000,178.82,176.88,113.21453725178728
2018-04-17,178.24,26575010.0000,178.9365,176.41,177.81
2018-04-16,175.82,21561320.0000,176.19,174.8301,176.49
2018-04-13,174.73,25100510.0000,175.84,173.85,175.0301
2018-04-12,174.14,22858840.0000,175.0,173.04,174.78
2018-04-11,172.44,22401040.0000,173.9232,171.7,173.41
2018-04-10,173.25,28567110.0000,174.0,171.53,172.23
2018-04-09,170.05,28976200.0000,173.09,169.845,173.0
2018-04-06,168.38,34949690.0000,172.48,168.2,169.88
2018-04-05,172.8,26750260.0000,174.2304,172.08,170.97
2018-04-04,171.61,34581850.0000,172.01,164.77,172.58
2018-04-03,168.39,30237640.0000,168.7455,164.88,164.88
2018-04-02,166.68,37425640.0000,168.94,164.47,167.64
2018-03-29,167.78,38116290.0000,171.75,166.9,167.88
2018-03-28,166.48,41464880.0000,170.02,165.19,167.805
2018-03-27,168.34,39824200.0000,175.15,166.92,167.25
2018-03-26,172.77,36778560.0000,173.1,166.44,173.68
2018-03-23,164.94,40984540.0000,169.92,164.94,168.07
2018-03-22,168.85,41335980.0000,172.68,168.6,168.39
2018-03-21,171.27,36387880.0000,175.09,171.26,170.0
2018-03-20,175.24,19620520.0000,176.8,174.94,175.04
2018-03-19,175.3,32931110.0000,177.47,173.66,175.24
2018-03-16,178.02,38313330.0000,179.12,177.62,177.32
2018-03-15,178.65,22676520.0000,180.24,178.0701,178.65
2018-03-14,178.44,29334630.0000,180.52,177.81,178.5
2018-03-13,179.97,31464170.0000,183.5,179.24,180.32
2018-03-12,181.72,32191070.0000,182.39,180.21,182.59
2018-03-09,179.98,32130360.0000,180.0,177.39,180.29
2018-03-08,176.94,24518850.0000,177.12,175.07,177.96
2018-03-07,175.03,31686450.0000,175.85,174.27,175.48
2018-03-06,176.67,23273160.0000,178.25,176.13,174.94
2018-03-05,176.82,27825140.0000,177.74,174.52,177.91
2018-03-02,176.21,38426060.0000,176.3,172.45,175.21
2018-03-01,175.0,48706170.0000,179.775,172.66,172.8
2018-02-28,178.12,37568080.0000,180.615,178.05,178.54
2018-02-27,178.39,38885510.0000,180.48,178.16,179.26
2018-02-26,178.97,37353670.0000,179.39,176.21,179.1
2018-02-23,175.5,33772050.0000,175.65,173.54,176.35
2018-02-22,172.5,30953760.0000,173.95,171.71,173.67
2018-02-21,171.07,37378070.0000,174.12,171.01,171.8
2018-02-20,171.85,33690660.0000,174.26,171.42,172.83
2018-02-16,172.43,40113790.0000,174.82,171.77,172.05
2018-02-15,172.99,50908540.0000,173.09,169.0,172.36
2018-02-14,167.37,40382890.0000,167.54,162.88,169.79
2018-02-13,164.34,32483310.0000,164.75,161.65,163.045
2018-02-12,162.71,60774900.0000,163.89,157.51,161.95
2018-02-09,156.41,70583530.0000,157.89,150.24,158.5
2018-02-08,155.15,54145930.0000,161.0,155.03,157.07
2018-02-07,159.54,51467440.0000,163.4,159.0685,160.29
2018-02-06,163.03,68171940.0000,163.72,154.0,163.085
2018-02-05,156.49,72215320.0000,163.88,156.0,154.83
2018-02-02,160.5,85957050.0000,166.8,160.1,159.1
2018-02-01,167.78,44453230.0000,168.62,166.76,166.0
2018-01-31,167.43,32234520.0000,168.4417,166.5,167.165
2018-01-30,166.97,45635470.0000,167.37,164.7,166.87
2018-01-29,167.96,50565420.0000,170.16,167.07,165.525
2018-01-26,171.51,39075250.0000,172.0,170.06,170.16
2018-01-25,171.11,41438280.0000,174.95,170.53,172.0
2018-01-24,174.22,51368540.0000,177.3,173.2,174.505
2018-01-23,177.04,32395870.0000,179.44,176.82,177.25
2018-01-22,177.0,27052000.0000,177.78,176.6016,177.3
2018-01-19,178.46,31306390.0000,179.58,177.41,177.3
2018-01-18,179.26,31087330.0000,180.1,178.25,178.61
2018-01-17,179.1,34260230.0000,179.25,175.07,179.37
2018-01-16,176.19,29512410.0000,179.39,176.14,176.15
2018-01-12,177.09,25302200.0000,177.36,175.65,177.9
2018-01-11,175.28,18653380.0000,175.4886,174.49,176.18
2018-01-10,174.29,23751690.0000,174.3,173.0,174.59
2018-01-09,174.33,21532200.0000,175.06,173.41,173.16
2018-01-08,174.35,20523870.0000,175.61,173.93,174.55
2018-01-05,175.0,23589930.0000,175.37,173.05,174.35
2018-01-04,173.03,22342650.0000,173.47,172.08,173.44
2018-01-03,172.23,29461040.0000,174.55,171.96,172.54
2018-01-02,172.26,25400540.0000,172.3,169.26,172.53
2017-12-29,169.23,25938760.0000,170.59,169.22,170.16
2017-12-28,171.08,16412270.0000,171.85,170.48,170.52
2017-12-27,170.6,21477380.0000,170.78,169.71,171.0
2017-12-26,170.57,33113340.0000,171.47,169.679,170.1
2017-12-22,175.01,16339690.0000,175.424,174.5,170.8
2017-12-21,175.01,20848660.0000,176.02,174.1,174.68
2017-12-20,174.35,23451420.0000,175.42,173.25,174.17
2017-12-19,174.54,27393660.0000,175.39,174.09,174.87
2017-12-18,176.42,29385650.0000,177.2,174.86,175.03
2017-12-15,173.97,40122100.0000,174.17,172.46,174.88
2017-12-14,172.22,20442740.0000,173.13,171.65,173.63
2017-12-13,172.27,23402510.0000,173.54,172.0,172.4
2017-12-12,171.7,19088170.0000,172.39,171.461,172.5
2017-12-11,172.67,34260890.0000,172.89,168.79,172.15
2017-12-08,169.37,23285760.0000,171.0,168.82,169.2
2017-12-07,169.32,25656110.0000,170.44,168.91,170.49
2017-12-06,169.01,28397810.0000,170.2047,166.46,169.03
2017-12-05,169.64,27315530.0000,171.52,168.4,167.5
2017-12-04,169.8,32512580.0000,172.62,169.63,169.06
2017-12-01,171.05,39735110.0000,171.67,168.5,172.48
2017-11-30,171.85,41484540.0000,172.14,168.44,169.95
2017-11-29,169.48,41459120.0000,172.92,167.16,170.43
2017-11-28,173.07,26387240.0000,174.87,171.86,172.63
2017-11-27,174.09,20591090.0000,175.08,173.34,174.3
2017-11-24,174.97,14026670.0000,175.5,174.6459,175.05
2017-11-22,174.96,25558680.0000,175.0,173.05,175.1
2017-11-21,173.14,25047130.0000,173.7,170.78,173.36
2017-11-20,169.98,16041550.0000,170.56,169.56,170.78
2017-11-17,170.15,21884010.0000,171.39,169.64,170.29
2017-11-16,171.1,23598650.0000,171.87,170.3,171.04
2017-11-15,169.08,28998220.0000,170.3197,168.38,171.18
2017-11-14,171.34,24683350.0000,173.48,171.18,169.97
2017-11-13,173.97,16956290.0000,174.5,173.4,173.04
2017-11-10,174.67,25129510.0000,175.38,174.27,173.5
2017-11-09,175.88,29422610.0000,176.095,173.14,175.11
2017-11-08,176.24,24358920.0000,176.24,174.33,175.11
2017-11-07,174.81,24332120.0000,175.25,173.6,174.66
2017-11-06,174.25,34770480.0000,174.99,171.72,173.91
